status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
669417179838095_1004341829678960,Stay fly and rep a tobacco-free lifestyle. Link up at an event to cop some swag. http://bit.ly/FEevents1,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1004341829678960/?type=3,https://www.facebook.com/FreshEmpire/posts/1004341829678960:0,2016-07-23 11:15:01,18,2,0,17,1,0,0,0,0
669417179838095_1003742069738936,Lex Lane came through to collab with Fresh Empire. Watch her talk about putting family first. http://bit.ly/FEyoutube1.,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1003742069738936/?type=3,https://www.facebook.com/FreshEmpire/posts/1003742069738936:0,2016-07-22 12:30:01,112,4,5,103,6,0,0,0,3
669417179838095_1003041239809019,"LIKE if you keep lil sis close, and teach her how to love, laugh and live tobacco-free. 💚 💚 💚",Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1003041239809019/?type=3,https://www.facebook.com/FreshEmpire/posts/1003041239809019:0,2016-07-21 12:30:01,122,0,1,115,7,0,0,0,0
669417179838095_1002598356519974,"Who fell through and kicked it with Fresh Empire the weekend of 7.11 - 7.17? TAG yourself or your squad, if you were at Dance Like Me in Chicago, Teentd Up in Raleigh, Brooklyn Hip Hop Fest in New York, Black Expo Summer Celebration or the All White Affair in Indianapolis, Kick Way KickBack in Philly, Party in Peace in Chicago, Sneaker Con in Dallas, Summer Jam 16 in Greensboro, V103s Car and bike show in Atlanta, Dub Show Tour in Houston, Fresh in Philly, G-Easy and Logic concert in Tampa, Sneaker Exit in Atlanta, or at Bring It! Live Tour in Raleigh, Charlotte, or Baltimore?",Fresh Empire,photo,https://www.facebook.com/FreshEmpire/photos/a.1002522246527585.1073741918.669417179838095/1002522313194245/?type=3,https://www.facebook.com/FreshEmpire/posts/1002598356519974,2016-07-20 21:50:32,11,1,0,9,2,0,0,0,0
669417179838095_1002316576548152,Watch this vid of Zonnique and Domani to find out why they choose to keep it fresh.,Fresh Empire x Zonnique + Domani.mp4,video,https://www.facebook.com/FreshEmpire/videos/1002316576548152/,https://www.facebook.com/FreshEmpire/videos/1002316576548152/,2016-07-20 13:00:54,30,1,4,27,1,2,0,0,0
669417179838095_1001755529937590,See what rising Hip-Hop star J-Reyez has to say about putting family over everything.,Look Out For Fam,video,https://www.facebook.com/FreshEmpire/videos/1001755529937590/,https://www.facebook.com/FreshEmpire/videos/1001755529937590/,2016-07-19 17:00:25,46,1,1,43,3,0,0,0,0
669417179838095_1000764883369988,Motivation Monday. 💯 💯 💯,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1000764883369988/?type=3,https://www.facebook.com/FreshEmpire/posts/1000764883369988:0,2016-07-18 08:00:01,23,0,4,22,1,0,0,0,0
669417179838095_999813920131751,Do you have a lil bro that's close in age?  SHARE if you live tobacco-free for them cause you know they're more likely to smoke if you do.,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/999813920131751/?type=3,https://www.facebook.com/FreshEmpire/posts/999813920131751:0,2016-07-16 17:25:01,65,1,3,63,2,0,0,0,0
669417179838095_999054796874330,S/O to the siblings with different hustles who still keep it fresh. Which side of the mural best represents your hustle? 💯,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/999054796874330/?type=3,https://www.facebook.com/FreshEmpire/posts/999054796874330:0,2016-07-15 13:06:01,6898,274,79,6667,87,10,129,3,2
669417179838095_998524183594058,Is lil bro always buggin' cause he wants to be just like you? Check our vid to see how you can help keep him on point by living tobacco-free.,Lil Brother,video,https://www.facebook.com/FreshEmpire/videos/998524183594058/,https://www.facebook.com/FreshEmpire/videos/998524183594058/,2016-07-14 19:21:01,56,2,23,50,5,0,1,0,0
669417179838095_998438800269263,Watch this EXCLUSIVE vid of Lex Lane spittin' fire and reppin' for family.,"When Dreams, Talent, and Passion Collide",video,https://www.facebook.com/FreshEmpire/videos/998438800269263/,https://www.facebook.com/FreshEmpire/videos/998438800269263/,2016-07-14 16:00:31,1638,59,149,1487,100,2,46,1,2
669417179838095_997662760346867,"As the oldest ones in the fam, we stay lookin' out for all the young ones. Check out our vid to see how ""We Watch Out"" by keeping it tobacco-free.",We Watch Out,video,https://www.facebook.com/FreshEmpire/videos/997662760346867/,https://www.facebook.com/FreshEmpire/videos/997662760346867/,2016-07-13 13:37:42,172,3,20,153,19,0,0,0,0
669417179838095_997564593690017,"Who fell through and kicked it with Fresh Empire the weekend of 7.4 - 7.11? TAG yourself or your squad, if you were at Bring It! Live Tour in Detroit, Sole Fest in Miami, TIPS in Chicago, Ultimate Queen City Car & Bike in Charlotte, Bring the Heat III in Tampa or Dub Show in LA?",Fresh Empire,photo,https://www.facebook.com/FreshEmpire/photos/a.997511867028623.1073741917.669417179838095/997511940361949/?type=3,https://www.facebook.com/FreshEmpire/posts/997564593690017,2016-07-13 10:38:57,376,1,0,365,10,1,0,0,0
669417179838095_997101440402999,Fresh Empire linked up with some street artists to show how the fam keeps it tobacco-free. Check out one of our newest murals and LIKE if you're feelin' it.,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/997101440402999/?type=3,https://www.facebook.com/FreshEmpire/posts/997101440402999:0,2016-07-12 18:00:01,2870,17,19,2805,42,23,0,0,0
669417179838095_997018053744671,"Zonnique and Domani rep the fresh life, do you?",Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/997018053744671/?type=3,https://www.facebook.com/FreshEmpire/posts/997018053744671:0,2016-07-12 14:00:01,721,9,17,683,38,0,0,0,0
669417179838095_996548363791640,Up and comer J-Reyez puts substance in his bars. Learn more about why he puts family first: http://bit.ly/FEyoutube1,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/996548363791640/?type=3,https://www.facebook.com/FreshEmpire/posts/996548363791640:0,2016-07-11 20:00:01,585,6,5,575,7,0,3,0,0
669417179838095_995692607210549,"Check out the new Fresh Empire vid feat. Zonnique and Domani. We talk success, fam, and more.",Success Follows Success with Zonnique and Domani.mp4,video,https://www.facebook.com/FreshEmpire/videos/995692607210549/,https://www.facebook.com/FreshEmpire/videos/995692607210549/,2016-07-10 12:01:16,68,1,10,68,0,0,0,0,0
669417179838095_995681977211612,We're always showin' 💚 💚 💚  to the Fresh Empire ladies cause they keep it tobacco-free. LIKE if that's you.,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/995681977211612/?type=3,https://www.facebook.com/FreshEmpire/posts/995681977211612:0,2016-07-10 11:35:01,22,1,0,21,1,0,0,0,0
669417179838095_995186950594448,Whose album are you bumpin' all summer long? 🎶 🎶 🎶,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/995186950594448/?type=3,https://www.facebook.com/FreshEmpire/posts/995186950594448:0,2016-07-09 16:00:01,10,3,2,10,0,0,0,0,0
669417179838095_993677457412064,"Who fell through and kicked it with Fresh Empire the weekend of 6.27 - 7.3? TAG yourself or your squad, if you were at The Parental Advisory Tour in Washington, DC, G-Eazy & Logic: The Endless Summer Tour in Dallas, TX and Phoenix, AZ, The Parental Advisory Tour in Philadelphia, PA, XXL Freshman Show in New York, NY, Bring It Live in Atlanta, GA, Legendary Summer Jam Fest and BBQ & Beats in Houston, TX, or the DTLR Meet and Greet in Tampa, FL?",Fresh Empire,photo,https://www.facebook.com/FreshEmpire/photos/a.993619750751168.1073741916.669417179838095/993619830751160/?type=3,https://www.facebook.com/FreshEmpire/posts/993677457412064,2016-07-07 13:19:13,9,1,0,9,0,0,0,0,0
669417179838095_992588577520952,Lex Lane's secret to chasin' life? Family over everything. Tag your fam that comes first.,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/992588577520952/?type=3,https://www.facebook.com/FreshEmpire/posts/992588577520952:0,2016-07-05 14:00:01,3474,16,66,3363,83,7,4,2,15
669417179838095_991766047603205,Motivation Monday.,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/991766047603205/?type=3,https://www.facebook.com/FreshEmpire/posts/991766047603205:0,2016-07-04 08:00:01,23,1,4,21,2,0,0,0,0
669417179838095_990755217704288,Fresh Empire. Enough said. 💯 💯 💯,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/990755217704288/?type=3,https://www.facebook.com/FreshEmpire/posts/990755217704288:0,2016-07-02 14:00:02,62,4,2,54,6,2,0,0,0
669417179838095_989495121163631,Sneakerheads - What's your favorite pair of kicks in your collection? 👌,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/989495121163631/?type=3,https://www.facebook.com/FreshEmpire/posts/989495121163631:0,2016-06-30 17:47:01,189,12,8,170,14,5,0,0,0
669417179838095_989022447877565,"Who fell through and kicked it with Fresh Empire the weekend of 6.20 - 6.26? TAG yourself or your squad, if you were at The Parental Advisory Tour in Atlanta, After Prom 2016 and the Copacabana After Prom in NYC, The Parental Advisory Tour and BET Award Viewing in Charlotte, Peace on the Streets and the Kickback Festival in Philadelphia, Teen TD' Up Thursday and So Fresh Saturday's in Raleigh, The Slam and Squad Goals in Chicago, Final Friday's in Phoenix,The Bryson Tiller & Metro boomin concert in Chandler, AZ , Let's Roll in Newark, NJ, Prelude South and Any Given Sunday in Tampa, Summer Jamz Saturday and Sneaker Exit in Miami, The BETx in Los Angeles, and the Legend Alumni B-ball Game in Dallas?",Fresh Empire,photo,https://www.facebook.com/FreshEmpire/photos/a.988949577884852.1073741915.669417179838095/988949677884842/?type=3,https://www.facebook.com/FreshEmpire/posts/989022447877565,2016-06-29 23:43:27,1459,2,0,1422,27,3,6,0,1
